,original,prediction
31492,1557.0,1126.0
31493,1100.0,1045.0
31494,16754.0,11221.0
31495,1199.0,1497.0
31496,5992.0,4363.0
31497,8732.0,8960.0
31498,3813.0,3356.0
31499,9910.0,13073.0
31500,14327.0,12614.0
31501,2525.0,3391.0
31502,4454.0,2441.0
31503,1268.0,1470.3333333333333
31504,25043.0,10494.0
31505,93913.0,15862.5
31506,1709.0,1011.0
31507,1950.0,1018.0
31508,1667.0,2292.0
31509,5226.0,3081.0
31510,6257.0,4686.0
31511,6678.0,9812.0
31512,1128.0,1684.0
31513,4667.0,4183.0
31514,4642.0,3644.0
31515,2164.0,1283.0
31516,6079.0,5432.0
31517,2206.0,2146.0
31518,3264.0,3414.0
31519,3295.0,4188.0
31520,1389.0,2744.0
31521,1004.0,1305.0
31522,5943.0,3679.0
31523,7064.0,9804.0
31524,183437.0,144347.5
31525,4811.0,5335.0
31526,10974.0,5771.0
31527,64212.0,75379.0
31528,5271.0,4599.5
31529,1593.0,2391.0
31530,2505.0,3926.0
31531,1270.0,1100.0
31532,5029.0,2022.0
31533,1610.0,1305.0
31534,53058.0,13302.0
31535,21306.0,6889.0
31536,1880.0,3133.0
31537,5076.0,2844.0
31538,13277.0,11355.0
31539,14419.0,9495.0
31540,5322.0,2635.0
31541,26346.0,16847.0
31542,19341.0,18877.0
31543,6040.0,4179.0
31544,6306.0,8607.0
31545,15192.0,6389.0
31546,3613.0,2606.0
31547,5321.0,6740.0
31548,9635.0,8208.333333333334
31549,6526.0,5095.0
31550,8432.0,7996.0
31551,2735.0,2385.3333333333335
31552,1661.0,1753.0
31553,6444.0,3773.3333333333335
31554,1844.0,1989.0
31555,1050.0,1021.5
31556,81340.0,57534.0
31557,7991.0,6499.5
31558,7500.0,10152.0
31559,1609.0,2339.0
31560,1535.0,1195.0
31561,64573.0,52977.0
31562,11106.0,12992.5
31563,2524.0,6066.0
31564,1327.0,1847.3333333333333
31565,1098.0,1037.0
31566,3208.0,3272.3333333333335
31567,6054.0,2775.5
31568,1393.0,1265.0
31569,2076.0,1032.0
31570,2023.0,1833.0
31571,1040.0,1290.0
31572,72822.0,11680.0
31573,1680.0,1204.5
31574,14166.0,2014.0
31575,8759.0,1476.0
31576,3492.0,2945.0
31577,1477.0,1002.0
31578,8456.0,3305.0
31579,1123.0,1557.3333333333333
31580,3046.0,2574.0
31581,3761.0,3287.6666666666665
31582,1141.0,1703.0
31583,2645.0,2839.6666666666665
31584,5516.0,3766.5
31585,3444.0,3159.5
31586,1258.0,1751.0
31587,2259.0,1637.0
31588,5227.0,1732.0
31589,3203.0,1578.0
31590,48499.0,17591.0
31591,5988.0,3433.0
31592,18466.0,5128.0
31593,1252.0,1168.0
31594,1568.0,1244.0
31595,4283.0,5384.666666666667
31596,6174.0,7931.666666666667
31597,2162.0,4717.0
31598,6862.0,5057.0
31599,2051.0,3165.0
31600,1887.0,2428.5
31601,6857.0,5379.666666666667
31602,1681.0,1957.0
31603,4957.0,7927.0
31604,1006.0,2019.0
31605,1615.0,1236.0
31606,1364.0,2795.0
31607,2899.0,4215.333333333333
31608,33113.0,53063.0
31609,9135.0,9993.0
31610,45974.0,63991.0
31611,3180.0,3842.0
31612,1208.0,1049.0
31613,1659.0,1974.5
31614,10104.0,1533.0
31615,1647.0,1585.0
31616,2976.0,1262.0
31617,48139.0,37921.0
31618,7043.0,2968.0
31619,1489.0,1862.0
31620,1640.0,1443.0
31621,1533.0,1260.0
31622,1024.0,1149.0
31623,1590.0,1354.3333333333333
31624,2833.0,1299.0
31625,2245.0,1828.0
31626,9719.0,3427.0
31627,1991.0,1935.0
31628,3631.0,4363.0
31629,5958.0,2549.0
31630,3403.0,2985.0
31631,1775.0,1385.0
31632,1407.0,1695.0
31633,2850.0,4046.0
31634,70133.0,27705.0
31635,8417.0,2786.0
31636,11232.0,5813.0
31637,6684.0,6025.0
31638,1042.0,1315.0
31639,1365.0,1904.5
31640,4268.0,6023.0
31641,3186.0,3935.5
31642,66625.0,72687.5
31643,2259.0,3278.5
31644,1640.0,1548.0
31645,5435.0,5149.0
31646,5430.0,4819.0
31647,12831.0,12965.5
31648,8311.0,7737.0
31649,4049.0,3314.5
31650,10222.0,10006.5
31651,2033.0,1642.0
31652,2094.0,3322.0
31653,86224.0,74367.5
31654,1165.0,1144.0
31655,1184.0,1487.0
31656,7849.0,8227.0
31657,6215.0,9041.0
31658,2189.0,2340.5
31659,3213.0,1831.5
31660,1226.0,1058.0
31661,1481.0,1501.0
31662,5422.0,2032.0
31663,3763.0,1415.0
31664,111564.0,157097.5
31665,11784.0,8049.0
31666,1612.0,1910.0
31667,6225.0,3295.0
31668,6659.0,2050.0
31669,18992.0,11066.0
31670,1742.0,1509.0
31671,1661.0,1910.0
31672,3145.0,3415.0
31673,4910.0,5100.5
31674,1144.0,1596.0
31675,1464.0,1185.0
31676,1983.0,1243.0
31677,4133.0,1306.0
31678,18482.0,18229.0
31679,2286.0,1306.0
31680,17340.0,9039.0
31681,13843.0,11441.0
31682,7049.0,1939.0
31683,18011.0,10311.0
31684,2615.0,3809.0
31685,3679.0,3023.0
31686,1785.0,1014.0
31687,3346.0,2726.0
31688,13380.0,12870.5
31689,6051.0,3759.0
31690,4091.0,3288.0
31691,1456.0,1066.0
31692,7417.0,7944.5
31693,9089.0,8324.0
31694,66140.0,81407.5
31695,14128.0,5460.5
31696,2767.0,2443.0
31697,3693.0,4250.0
31698,6094.0,3979.0
31699,1897.0,1676.0
31700,87710.0,164291.0
31701,2091.0,3052.5
31702,7578.0,14754.0
31703,9881.0,14230.0
31704,1460.0,1955.5
31705,6076.0,9580.0
31706,1319.0,1132.0
31707,51759.0,118228.0
31708,17329.0,9817.0
31709,21317.0,10134.0
